status,display_name,first_name,last_name,esb_id,gsis_id,birth_date,college_name,position_group,position,jersey_number,height,weight,years_of_experience,team_abbr,team_seq,current_team_id,football_name,entry_year,rookie_year,draft_club,draft_number,college_conference,status_description_abbr,status_short_description,gsis_it_id,short_name,smart_id,headshot,suffix,uniform_number,draft_round
ACT,Aidan O'Connell,Aidan,O'Connell,OCO075507,00-0038579,1998-09-01,Purdue,QB,QB,12.0,75.0,210.0,2,LV,,2520,Aidan,2023.0,2023.0,LV,135.0,Big Ten Conference,A01,Active,56000.0,A.O'Connell,32004f43-4f07-5507-fffe-35de4751ec57,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/aphs7sdbtn8v4zo9pz6w",,12,
ACT,Ainias Smith,Ainias,Smith,SMI024570,00-0039747,2001-05-31,Texas A&amp;M,WR,WR,82.0,70.0,190.0,0,PHI,,3700,Ainias,2024.0,2024.0,PHI,152.0,Southeastern Conference,A01,Active,57273.0,A.Smith,3200534d-4902-4570-58a4-c92360387358,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/curtawk9bzyg88w5jrg8",,82,
ACT,Akayleb Evans,Akayleb,Evans,EVA006904,00-0038101,1999-06-22,Missouri,DB,CB,21.0,74.0,193.0,3,CAR,,0750,Akayleb,2022.0,2022.0,MIN,118.0,Southeastern Conference,A01,Active,54583.0,A.Evans,32004556-4100-6904-e210-44afe72b61e1,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hzdshia4xdcavsff29ro",,21,
ACT,Akeem Davis-Gaither,Akeem,Davis-Gaither,DAV816473,00-0036298,1997-09-21,Appalachian State,LB,OLB,59.0,74.0,215.0,5,CIN,,0920,Akeem,2020.0,2020.0,CIN,107.0,Sun Belt Conference,A01,Active,52515.0,A.Davis-Gaither,32004441-5681-6473-4bbb-eb231ca69181,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x96f2dqigzscwplj024t",,59,
ACT,Al Woods,Al,Woods,WOO401988,00-0027723,1987-03-25,Louisiana State,DL,NT,96.0,76.0,330.0,13,NYJ,1.0,3430,Al,2010.0,2010.0,NO,123.0,Southeastern Conference,A01,Active,35562.0,A.Woods,3200574f-4f40-1988-3618-55072355959c,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/prcuuwfcof1uok4lxb11",,96,
ACT,Al-Quadin Muhammad,Al-Quadin,Muhammad,MUH405540,00-0033964,1995-03-28,Miami,DL,DE,69.0,76.0,250.0,7,DET,1.0,1540,Al-Quadin,2017.0,2017.0,NO,196.0,Atlantic Coast Conference,A01,Active,45009.0,A.Muhammad,32004d55-4840-5540-392b-8eb5c7758a63,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/qgzgezkkoycldlnaatq8",,69,
ACT,Alaric Jackson,Alaric,Jackson,JAC015008,00-0036603,1998-07-14,Iowa,OL,T,77.0,78.0,315.0,4,LA,,2510,Alaric,2021.0,2021.0,,,Big Ten Conference,A01,Active,53868.0,A.Jackson,32004a41-4301-5008-2385-0392a24d89a5,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/bzmde6patijvpixsqyct",,77,
ACT,Alec Anderson,Alec,Anderson,AND037350,00-0037428,1999-10-03,UCLA,OL,G,70.0,77.0,305.0,2,BUF,,0610,Alec,2022.0,2022.0,,,Pacific Twelve Conference,A01,Active,55013.0,A.Anderson,3200414e-4403-7350-a2bc-767713a88532,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/lptnr0wgrndie9wjvnpu",,70,
ACT,Alec Ingold,Alec,Ingold,ING382661,00-0035125,1996-07-09,Wisconsin,RB,FB,30.0,73.0,242.0,6,MIA,1.0,2700,Alec,2019.0,2019.0,,,Big Ten Conference,A01,Active,48233.0,A.Ingold,3200494e-4738-2661-ba77-8c3544862938,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ti3f1rb38z7sbxkjk2d9",,30,
ACT,Alec Ogletree,Alec,Ogletree,OGL654714,00-0030527,1991-09-25,Georgia,LB,ILB,44.0,74.0,235.0,8,CHI,1.0,0810,Alec,2013.0,2013.0,STL,30.0,Southeastern Conference,A01,Active,39976.0,A.Ogletree,32004f47-4c65-4714-b4a6-9c147992896b,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/n2iknv0oqq5nqbbzjjrn",,44,
ACT,Alec Pierce,Alec,Pierce,PIE185673,00-0037664,2000-05-02,Cincinnati,WR,WR,14.0,75.0,213.0,3,IND,,2200,Alec,2022.0,2022.0,IND,53.0,American Athletic Conference,A01,Active,54518.0,A.Pierce,32005049-4518-5673-88cc-339d3b35d4c9,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/hvtcpccoigf9cghzkxcg",,14,
ACT,Alejandro Villanueva,Alejandro,Villanueva,VIL407040,00-0030648,1988-09-22,Army,OL,T,78.0,81.0,320.0,6,BAL,1.0,0325,Alejandro,2014.0,2014.0,,,Independent,A01,Active,41222.0,A.Villanueva,32005649-4c40-7040-90fb-027d7be220e1,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/u0iqbfj30q64ngrmwdvr",,78,
ACT,Alex Armah,Alex,Armah,ARM000892,00-0033296,1994-05-17,West Georgia,RB,RB,40.0,74.0,255.0,5,WAS,1.0,5110,Alex,2017.0,2017.0,CAR,192.0,Gulf South Conference,A01,Active,45005.0,A.Armah,32004152-4d00-0892-ecbc-8ac20741cffe,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/pvbqmdwlukehpxovupsg",,40,
ACT,Alex Austin,Alex,Austin,AUS089816,00-0038646,2001-05-22,Oregon State,DB,CB,28.0,73.0,191.0,2,NE,,3200,Alex,2023.0,2023.0,BUF,252.0,Pacific Twelve Conference,A01,Active,56117.0,A.Austin,32004155-5308-9816-8d6f-de43c00a54cc,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/t8umlygeg2jmupvkhsz5",,28,
ACT,Alex Cappa,Alexander,Cappa,CAP370596,00-0034678,1995-01-27,Humboldt State,OL,G,65.0,78.0,305.0,7,CIN,1.0,0920,Alex,2018.0,2018.0,TB,94.0,Great Northwest Athletic Conference,A01,Active,46163.0,A.Cappa,32004341-5037-0596-30b8-a29641c28ea6,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/phxdwhk3wxop91v6gwur",,65,
ACT,Alex Carter,Alex,Carter,CAR608019,00-0031563,1994-10-19,Stanford,DB,CB,36.0,72.0,198.0,1,WAS,1.0,5110,Alex,2015.0,2015.0,DET,80.0,Pacific Twelve Conference,A01,Active,42423.0,A.Carter,32004341-5260-8019-b43d-f7eccabb44e3,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/egfrw5pjpsk1aiykw0sz",,,
ACT,Alex Erickson,Alex,Erickson,ERI090697,00-0032543,1992-11-06,Wisconsin,WR,WR,82.0,72.0,195.0,7,LAC,1.0,4400,Alex,2016.0,2016.0,,,Big Ten Conference,A01,Active,43663.0,A.Erickson,32004552-4909-0697-7ef2-dee5ba714d1b,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tnd77vbkyo8srrrkaisu",,82,
ACT,Alex Forsyth,Alex,Forsyth,FOR566553,00-0038649,1999-02-13,Oregon,OL,C,54.0,76.0,312.0,2,DEN,,1400,Alex,2023.0,2023.0,DEN,257.0,Pacific Twelve Conference,A01,Active,56122.0,A.Forsyth,3200464f-5256-6553-cf04-7fe0756ccf29,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f4wu45km6wurk18920hh",,54,
ACT,Alex Highsmith,Alex,Highsmith,HIG595832,00-0036333,1997-08-07,North Carolina-Charlotte,LB,OLB,56.0,76.0,242.0,5,PIT,,3900,Alex,2020.0,2020.0,PIT,102.0,Conference USA,A01,Active,52510.0,A.Highsmith,32004849-4759-5832-21ce-07274900b330,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pid301mbi8xc7jkg8c6q",,56,
ACT,Alex Okafor,Alex,Okafor,OKA207645,00-0030503,1991-02-08,Texas,DL,DE,97.0,76.0,260.0,8,KC,1.0,2310,Alex,2013.0,2013.0,ARI,103.0,Big Twelve Conference,A01,Active,40051.0,A.Okafor,32004f4b-4120-7645-9671-780bd0a9e00a,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/haacftqavtvq7dnvph1g",,97,
ACT,Alex Palczewski,Alex,Palczewski,PAL125725,00-0038796,1999-08-03,Illinois,OL,T,63.0,78.0,315.0,2,DEN,,1400,Alex,2023.0,2023.0,,,Big Ten Conference,A01,Active,56515.0,A.Palczewski,32005041-4c12-5725-d14c-dd2fa06a64b3,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/x1vhpswi9sw6fgykk8fb",,63,
ACT,Alex Smith,Alex,Smith,SMI029398,00-0023506,1982-05-22,Stanford,TE,TE,83.0,76.0,250.0,11,WAS,1.0,5110,Alex,,,,,,,,29898.0,,3200534d-4902-9398-d7ad-d21cbbe6a53d,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/zcpxncjwcm6ggoiqt6ub",,,
ACT,Alex Smith,Alexander,Smith,SMI031126,00-0023436,1984-05-07,Utah,QB,QB,11.0,76.0,213.0,16,WAS,1.0,5110,Alex,2005.0,2005.0,SF,1.0,Mountain West Conference,A01,Active,29819.0,A.Smith,3200534d-4903-1126-6414-eeba5603cc44,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/dpa5d1a8jj6jdymocjkx",,11,
ACT,Alex Ward,Alex,Ward,WAR059977,00-0038360,1999-04-21,Central Florida,SPEC,LS,47.0,76.0,240.0,2,LA,,2510,Alex,2023.0,2023.0,,,American Athletic Conference,A01,Active,56131.0,A.Ward,32005741-5205-9977-2f78-00ad5bad8dbf,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/crfr3gemc0thaar1lhcy",,47,
ACT,Alexander Mattison,Alexander,Mattison,MAT599622,00-0034972,1998-06-19,Boise State,RB,RB,22.0,71.0,220.0,6,LV,1.0,2520,Alexander,2019.0,2019.0,MIN,102.0,Mountain West Conference,A01,Active,47885.0,A.Mattison,32004d41-5459-9622-25bb-238938a4f96b,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/uftc0gl0wzo5povcu6ih",,22,
ACT,Alfonzo Graham,Alfonzo,Graham,GRA113358,00-0038957,2000-03-20,Morgan State,RB,RB,29.0,69.0,180.0,1,PIT,,3900,Alfonzo,2023.0,2023.0,,,Mid-Eastern Athletic Conference,A01,Active,56669.0,A.Graham,32004752-4111-3358-4cbb-99c4ac08d12c,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/hxulxdhq95j6cvtqqrew",,29,
ACT,Ali Gaye,Ali,Gaye,GAY545877,00-0038724,1997-11-29,Louisiana State,DL,DE,99.0,78.0,262.0,1,TEN,,2100,Ali,2023.0,2023.0,,,Southeastern Conference,A01,Active,56414.0,A.Gaye,32004741-5954-5877-64c1-07a7b7a86e8f,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/w6l8vpwpwoqqazxofqtc",,99,
ACT,Ali Marpet,Alexander,Marpet,MAR291946,00-0032243,1993-04-17,Hobart,OL,G,74.0,76.0,307.0,6,TB,1.0,4900,Ali,2015.0,2015.0,TB,61.0,Liberty League,A01,Active,42404.0,A.Marpet,32004d41-5229-1946-2d96-54bc1b07e471,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/k7sztrljegjwaugn2hsh",,74M,
ACT,Alijah Vera-Tucker,Alijah,Vera-Tucker,VER027685,00-0036979,1999-06-17,Southern California,OL,G,75.0,76.0,310.0,4,NYJ,,3430,Alijah,2021.0,2021.0,NYJ,14.0,Pacific Twelve Conference,A01,Active,53443.0,A.Vera-Tucker,32005645-5202-7685-ef25-bd9d5bb57329,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/ytzai7qk5arhzhmvkzrz",,75,
ACT,Alim McNeill,Alim,McNeill,MCN611247,00-0036624,2000-05-11,North Carolina State,DL,DT,54.0,74.0,315.0,4,DET,,1540,Alim,2021.0,2021.0,DET,72.0,Atlantic Coast Conference,A01,Active,53501.0,A.McNeill,32004d43-4e61-1247-5b50-75dcdd3e2757,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/f3ytkvudrfwmaclberk9",,54,
ACT,Allen Robinson,Allen,Robinson,ROB365982,00-0031428,1993-08-24,Penn State,WR,WR,8.0,74.0,220.0,11,DET,1.0,1540,Allen,2014.0,2014.0,JAX,61.0,Big Ten Conference,A01,Active,41290.0,A.Robinson,3200524f-4236-5982-45ce-8ca18ca03af8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/fyukft9lraurbsq0laom",II,8,
ACT,Alohi Gilman,Alohi,Gilman,GIL754579,00-0036380,1997-09-17,Notre Dame,DB,SS,32.0,71.0,202.0,5,LAC,,4400,Alohi,2020.0,2020.0,LAC,186.0,Independent,A01,Active,52594.0,A.Gilman,32004749-4c75-4579-21aa-da0012a654dd,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/art29msb8cif1rzoowih",,32,
ACT,Alontae Taylor,Alontae,Taylor,TAY007703,00-0038121,1998-12-03,Tennessee,DB,CB,1.0,72.0,195.0,3,NO,,3300,Alontae,2022.0,2022.0,NO,49.0,Southeastern Conference,A01,Active,54514.0,A.Taylor,32005441-5900-7703-7352-ba6d35ffd615,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/pnx5hwmmobgggp0xqewv",,1,
ACT,Alvin Kamara,Alvin,Kamara,KAM244058,00-0033906,1995-07-25,Tennessee,RB,RB,41.0,70.0,215.0,8,NO,1.0,3300,Alvin,2017.0,2017.0,NO,67.0,Southeastern Conference,A01,Active,44879.0,A.Kamara,32004b41-4d24-4058-5a3b-01bd39e6a25d,"https://static.www.nfl.com/image/private/f_auto,q_auto/league/tl9enad6kiwv6cukf4vt",,41,
ACT,Amani Hooker,Amani,Hooker,HOO289885,00-0035632,1998-06-14,Iowa,DB,FS,37.0,71.0,210.0,6,TEN,1.0,2100,Amani,2019.0,2019.0,TEN,116.0,Big Ten Conference,A01,Active,47899.0,A.Hooker,3200484f-4f28-9885-74ca-b4eda13809f8,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jigd7pauot8z4engfsmx",,37,
ACT,Amari Burney,Amari,Burney,BUR465924,00-0038617,2000-06-19,Florida,LB,OLB,56.0,74.0,228.0,2,LV,,2520,Amari,2023.0,2023.0,LV,203.0,Southeastern Conference,A01,Active,56068.0,A.Burney,32004255-5246-5924-d34b-b3f18f651d94,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/ppsvzbopjgq7uc57e8hp",,56,
